Protein	logFC	adj.P.Val	class
FKBP2	-1.348532011	1.50226164174393e-49	DOWN
MYO1E	0.67357891305296	1.20756091626192e-48	Non-significant
COBLL1	-1.192377057	3.4385606985442e-47	DOWN
ALDH1A1	-1.473334074	1.39530767393752e-46	DOWN
AMT	-1.205185341	1.22635317681776e-45	DOWN
ERO1B	-1.597429518	3.2622679416815e-45	DOWN
PABPC4	-1.304419947	6.74706250818977e-45	DOWN
AOX1	-1.398840894	1.35447863055641e-44	DOWN
MCCC1	-0.978371728	3.02651408304615e-44	Non-significant
PPIF	-1.371113828	6.48652296591968e-44	DOWN
SULF1	1.210754564	1.09428950734154e-43	UP
THNSL1	-0.584637687	1.91840443365453e-43	Non-significant
WNK2	-0.695884644	1.91840443365453e-43	Non-significant
A1CF	-1.032294731	3.68241303631437e-43	DOWN
SFN	1.75024468642805	4.14116166318855e-43	UP
NRCAM	-1.465625428	6.99050776133311e-43	DOWN
PDZK1	-1.081700375	8.1408688751191e-43	DOWN
CYB5A	-1.220297361	1.16630390231401e-42	DOWN
NUDT9	-0.860232347	1.83342507392917e-42	Non-significant
FAM129A	-1.180897826	5.91201345134053e-42	DOWN
SERPINI2	-2.504900079	6.93927376829436e-42	DOWN
CMC4	-1.123237612	8.5455596936972e-42	DOWN
PAIP2B	-1.860456333	1.14034816471094e-41	DOWN
ARPC1B	0.602490488783058	1.73070262899274e-41	Non-significant
GPHN	-0.751238961	2.25026222842664e-41	Non-significant
DAG1	-0.657377576	2.55209936461107e-41	Non-significant
EIF2D	-0.469777143	4.01965361455937e-41	Non-significant
DNAJB4	-0.815667893	4.01965361455937e-41	Non-significant
HK1	0.789362323398723	2.90190667859527e-40	Non-significant
PARP4	0.622555291313021	3.46453183204005e-40	Non-significant
PML	0.8750596489397	3.46453183204005e-40	Non-significant
INF2	0.631420693598023	3.83182639203768e-40	Non-significant
NFIA	-0.358200693	5.49497901716161e-40	Non-significant
PDIA6	-1.034145209	8.76890989069011e-40	DOWN
RGN	-1.600082371	1.08830165133053e-39	DOWN
MUT	-0.870119894	1.88988510859229e-39	Non-significant
RPL12	-0.889376466	4.42262710633899e-39	Non-significant
FHL2	1.3964698384591	5.16009791491739e-39	UP
GSTA4	-0.576596288	5.21671828476672e-39	Non-significant
ECI2	-0.862044455	5.46780772901461e-39	Non-significant
ALDH1L2	-1.793199171	7.05895747388864e-39	DOWN
PLEC	0.993388121676025	7.50555411521629e-39	Non-significant
ZNF622	-0.78988685	1.01266249022432e-38	Non-significant
CORO1C	0.838755224652284	1.57604865497377e-38	Non-significant
